EST_ST,REGION,EEDUC,RECVDVACC,NUMDOSES,BRAND,GETVACRV
17,3,4,2,-88,-88,5
17,3,7,1,2,2,-88
17,3,6,1,3,1,-88
17,3,7,1,3,2,-88
17,3,6,1,3,1,-88
18,3,4,1,2,1,-88
20,3,3,1,3,2,-88
20,3,4,1,2,1,-88
20,3,6,1,3,1,-88
20,3,6,1,3,2,-88
20,3,7,1,3,1,-88
20,3,7,1,3,1,-88
20,3,7,1,3,1,-88
20,3,7,1,3,1,-88
20,3,6,1,2,2,-88
20,3,4,1,2,1,-88
15,4,6,1,1,2,-88
20,3,6,1,3,1,-88
20,3,6,1,2,2,-88
20,3,5,1,3,1,-88
20,3,7,1,3,2,-88
20,3,6,1,3,1,-88
20,3,3,2,-88,-88,-88
20,3,7,1,3,2,-88
21,2,4,1,2,1,-88
21,2,7,1,3,1,-88
51,2,7,1,3,1,-88
6,4,7,1,3,2,-88
21,2,3,1,2,1,-88
21,2,3,1,3,1,-88
21,2,4,1,2,1,-88
21,2,6,1,2,1,-88
21,2,3,1,3,2,-88
21,2,7,1,2,1,-88
21,2,5,1,3,1,-88
22,2,6,1,3,1,-88
22,2,7,1,3,1,-88
22,2,5,1,3,1,-88
22,2,4,2,-88,-88,5
22,2,3,1,2,2,-88
23,1,3,1,2,1,-88
23,1,7,1,2,3,-88
23,1,6,1,3,2,-88
23,1,7,1,3,2,-88
23,1,3,1,3,1,-88
23,1,4,1,1,3,-88
48,2,6,1,3,1,-88
24,2,6,1,3,2,-88
24,2,6,1,3,1,-88
24,2,7,1,3,1,-88
25,1,7,1,3,1,-88
25,1,4,1,3,2,-88
25,1,6,1,3,1,-88
25,1,7,1,3,2,-88
25,1,6,1,3,1,-88
25,1,4,1,3,1,-88
25,1,5,1,3,2,-88
48,2,3,1,1,3,-88
26,3,1,1,1,3,-88
26,3,7,1,3,1,-88
26,3,3,1,3,2,-88
26,3,6,-99,-88,-88,-99
26,3,6,2,-88,-88,5
26,3,4,1,3,2,-88
26,3,6,1,3,1,-88
26,3,6,1,2,3,-88
27,3,7,2,-88,-88,4
27,3,5,1,1,3,-88
27,3,6,1,2,1,-88
27,3,6,1,3,1,-88
27,3,6,1,3,2,-88
27,3,5,1,2,3,-88
27,3,3,1,3,1,-88
27,3,6,1,3,1,-88
27,3,6,1,3,1,-88
55,3,4,1,3,2,-88
27,3,5,1,2,2,-88
27,3,7,1,3,2,-88
28,2,6,1,2,1,-88
28,2,7,1,3,2,-88
28,2,4,2,-88,-88,2
28,2,6,1,2,2,-88
28,2,6,1,3,1,-88
28,2,7,1,3,1,-88
28,2,4,1,2,1,-88
29,3,7,1,3,2,-88
29,3,4,1,2,2,-88
29,3,3,1,3,2,-88
29,3,4,1,2,2,-88
5,2,4,2,-88,-88,5
29,3,6,1,2,1,-88
29,3,6,1,3,1,-88
29,3,7,1,3,1,-88
29,3,3,-99,-88,-88,-99
48,2,2,1,2,1,-88
48,2,6,1,2,1,-88
48,2,7,1,3,1,-88
48,2,3,1,2,2,-88
48,2,3,1,1,3,-88
48,2,7,1,4,2,-88
48,2,6,1,3,1,-88
48,2,5,1,3,2,-88
48,2,6,1,3,2,-88
48,2,4,1,3,1,-88
48,2,4,1,3,1,-88
48,2,3,2,-88,-88,3
48,2,4,1,3,1,-88
48,2,6,1,3,1,-88
48,2,7,1,3,1,-88
48,2,4,1,2,1,-88
48,2,7,1,3,2,-88
48,2,6,1,3,2,-88
48,2,6,1,3,2,-88
48,2,6,1,2,2,-88
30,4,6,2,-88,-88,5
30,4,4,1,3,1,-88
30,4,7,1,3,1,-88
6,4,6,1,3,2,-88
30,4,3,1,3,2,-88
56,4,3,1,2,1,-88
30,4,3,2,-88,-88,5
30,4,4,2,-88,-88,5
30,4,7,1,3,1,-88
30,4,7,1,3,2,-88
30,4,6,1,3,1,-88
32,4,4,1,3,2,-88
31,3,4,1,3,2,-88
31,3,6,2,-88,-88,5
31,3,6,1,2,1,-88
31,3,3,2,-88,-88,5
32,4,4,-99,-88,-88,-99
32,4,6,1,2,3,-88
32,4,7,1,3,2,-88
32,4,3,2,-88,-88,5
32,4,3,1,2,2,-88
32,4,2,1,2,1,-88
32,4,6,1,1,3,-88
32,4,7,1,2,1,-88
32,4,6,1,2,1,-88
32,4,6,1,3,1,-88
32,4,1,2,-88,-88,2
32,4,4,1,2,1,-88
32,4,4,1,2,2,-88
50,1,4,1,2,1,-88
32,4,6,1,3,1,-88
32,4,6,1,2,3,-88
32,4,2,2,-88,-88,5
32,4,7,1,3,2,-88
32,4,3,1,3,1,-88
33,1,7,1,3,1,-88
33,1,4,1,3,2,-88
33,1,1,2,-88,-88,5
33,1,6,1,3,2,-88
33,1,7,1,2,2,-88
25,1,7,1,3,1,-88
33,1,6,1,3,1,-88
33,1,4,1,3,1,-88
33,1,7,1,3,1,-88
33,1,6,1,3,1,-88
33,1,6,1,3,1,-88
33,1,4,1,3,2,-88
33,1,4,2,-88,-88,4
34,1,3,2,-88,-88,5
35,4,3,1,3,2,-88
35,4,7,1,2,1,-88
